sampling.year,id,n.leaf,c.leaf,leaf.cn,sif.min,sif.max
2021,Harris_p_5c,2.717,46.055,16.9506809,0.74,4.34
2021,Harris_p_5d,1.537,44.527,28.97007157,1.30,4.49
2021,Hays_i_01,3.332,46.636,13.99639856,0.60,4.29
2021,Hays_i_02,2.567,42.338,16.4931827,0.78,4.72
2021,Hays_i_03,3.047,45.214,14.83885789,0.66,4.42
2021,Hays_i_04,2.933,41.164,14.03477668,0.68,4.86
2021,Hays_i_05,2.839,40.461,14.25184924,0.70,4.94
2021,Hays_i_07,3.397,49.769,14.65086841,0.59,4.02
2021,Hays_i_08,3.696,49.692,13.44480519,0.54,4.02
2021,Hays_i_09,2.959,48.548,16.40689422,0.68,4.12
2021,Hays_i_10,2,45.04,22.52,1.00,4.44
2021,Hays_i_11,2.769,43.64,15.76020224,0.72,4.58
2021,Hays_i_12,2.189,48.803,22.29465509,0.91,4.10
2021,Hays_i_13,2.581,39.292,15.22355676,0.78,5.09
2021,Hays_i_14,2.968,39.09,13.17048518,0.67,5.05
2021,Hays_i_15,3.374,40.309,11.94694724,0.59,4.45
2021,Kerr_i_01,2.752,45.168,16.4127907,0.73,4.43
2021,Kerr_i_02,2.932,43.413,14.80661664,0.68,4.61
2021,Kerr_i_03,3.087,46.069,14.92355037,0.65,4.34
2021,Kerr_i_04,3.779,42.416,11.22413337,0.53,3.97
2021,Kerr_i_05,4.041,43.188,10.6874536,0.50,3.71
2021,Kerr_i_06,4.318,43.892,10.16489115,0.46,3.47
2021,Kerr_i_07,3.148,45.925,14.5886277,0.63,4.36
2021,Kerr_i_08,2.843,44.373,15.60780865,0.70,4.51
2021,Kerr_i_09,2.705,43.863,16.2155268,0.74,4.56
2021,Kerr_i_10,4.995,45.571,9.123323323,0.44,3.00
2021,Kerr_i_11,3.78,43.344,11.46666667,0.53,3.97
2021,Kerr_i_12,4.138,41.574,10.04688255,0.48,3.62
2021,Kerr_i_13,4.588,49.701,10.83282476,0.44,3.27
2021,Kerr_i_14,4.398,44.36,10.08640291,0.45,3.41
2021,Kerr_i_15,4.606,48.637,10.55948762,0.43,3.25
2021,Uvalde_i_01,2.629,34.922,13.28337771,0.76,5.70
2021,Uvalde_i_02,2.429,33.912,13.96130095,0.82,5.90
2021,Uvalde_i_03,2.412,33.06,13.70646766,0.83,6.05
2021,Uvalde_i_04,2.517,45.341,18.01390544,0.79,4.41
2021,Uvalde_i_05,2.785,45.438,16.31526032,0.72,4.40
2021,Uvalde_i_06,2.543,42.741,16.8073142,0.79,4.68
2021,Uvalde_i_10,2.708,42.886,15.83677991,0.74,4.66
2021,Uvalde_i_11,4.091,44.402,10.85358103,0.49,3.67
2021,Uvalde_i_12,3.38,38.173,11.29378698,0.59,4.44
2021,Uvalde_i_13,1.655,32.35,19.54682779,1.21,6.18
2021,Uvalde_i_14,2.256,31.749,14.0731383,0.88,6.30
2021,Uvalde_i_15,2.633,38.2465,14.50504373,0.76,5.23
2021,Uvalde_i_16,2.737,44.381,16.21519912,0.73,4.51
2021,Uvalde_i_17,2.917,44.207,15.15495372,0.68,4.52
2021,Uvalde_i_18,NA,NA,NA,2.00,3.00
2021,Uvalde_p_1a,2.121,44.296,20.88448845,0.94,4.51
2021,Uvalde_p_1b,2.469,37.08,15.018226,0.81,5.39
2021,Uvalde_p_1c,1.73,45.728,26.43236994,1.16,4.37
2021,Uvalde_p_2a,2.158,45.627,21.14318814,0.93,4.38
2021,Uvalde_p_2b,1.94,38.958,20.0814433,1.03,5.13
2021,Uvalde_p_2c,2.152,36.455,16.94005576,0.93,5.49
2021,Uvalde_p_3a,2.447,48.88,19.97548018,0.82,4.09
2021,Uvalde_p_3b,1.56,47.149,30.22371795,1.28,4.24
2021,Uvalde_p_3c,2.325,37.021,15.92301075,0.86,5.40
2021,Uvalde_p_4a,1.618,45.318,28.00865266,1.23,4.41
2021,Uvalde_p_4b,2.065,43.46,21.04600484,0.97,4.60
2021,Uvalde_p_4c,1.361,26.301,19.3247612,1.47,7.60
2021,Uvalde_p_5a,1.843,45.355,24.60933261,1.09,4.41
