id,d13C,d15n,photo,id,coll.number,NCRS.code,family,growth.habit,duration,group,n.fixer,pft
2020eco_Harris_p_mes,-29.44,-0.78,c3,Prosopis glandulosa,PRGL2,PRGL2,Fabaceae,shrub,perennial,dicot,yes,legume
2020eco_Menard_i_01,-29.86,4.88,c3,Ambrosia artemisiifolia L.,AMAR2,AMAR2,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Menard_i_02,-29.75,4.83,c3,Ambrosia artemisiifolia L.,AMAR2,AMAR2,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Menard_i_03,-29.75,5.66,c3,Ambrosia artemisiifolia L.,AMAR2,AMAR2,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Menard_i_04,-27.75,0.8,c3,Prosopis glandulosa,PRGL2,PRGL2,Fabaceae,shrub,perennial,dicot,yes,legume
2020eco_Menard_i_05,-26.76,0.21,c3,Prosopis glandulosa,PRGL2,PRGL2,Fabaceae,shrub,perennial,dicot,yes,legume
2020eco_Menard_i_06,-27.79,1.12,c3,Prosopis glandulosa,PRGL2,PRGL2,Fabaceae,shrub,perennial,dicot,yes,legume
2020eco_Menard_i_07,-28.13,1.02,c3,Helianthus annuus L.,HEAN 3,HEAN 3,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Menard_i_08,-29.16,0.71,c3,Helianthus annuus L.,HEAN 3,HEAN 3,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Menard_i_09,-28.11,1.74,c3,Helianthus annuus L.,HEAN 3,HEAN 3,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Menard_i_10,-27.6,1.58,c3,Nassella leucotricha,NALE3,NALE3,Poaceae,graminoid,perennial,monocot,no,c3_graminoid
2020eco_Menard_i_11,-28.26,1.38,c3,Nassella leucotricha,NALE3,NALE3,Poaceae,graminoid,perennial,monocot,no,c3_graminoid
2020eco_Menard_i_12,-26.97,1.73,c3,Nassella leucotricha,NALE3,NALE3,Poaceae,graminoid,perennial,monocot,no,c3_graminoid
2020eco_Menard_i_13,-28.83,3.26,c3,Ambrosia artemisiifolia L.,AMAR2,AMAR2,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Menard_i_15,-28.71,2.56,c3,Ambrosia artemisiifolia L.,AMAR2,AMAR2,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Menard_p_1a,-28.47,2.1,c3,,,,,forb,,dicot,,c3_forb
2020eco_Menard_p_1b,-29.05,5.36,c3,Solanum elaeagnifolium,SOEL,SOEL,Solanaceae,forb,perennial,dicot,no,c3_forb
2020eco_Menard_p_1c,-28.93,3.57,c3,Ambrosia artemisiifolia L.,AMAR2,AMAR2,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Menard_p_1d,-28.08,1.82,c3,,,,Euphorbiaceae,forb,annual,dicot,no,c3_forb
2020eco_Menard_p_1e,-13.32,1.18,c4,,,,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Menard_p_2a,-30.59,2.47,c3,,,,Euphorbiaceae,forb,annual,dicot,no,c3_forb
2020eco_Menard_p_2b,-29.61,2,c3,,,,,forb,,dicot,,c3_forb
2020eco_Menard_p_2c,-28.85,2.16,c3,,,,,forb,,dicot,,c3_forb
2020eco_Menard_p_2d,-29.09,7.26,c3,Ambrosia artemisiifolia L.,AMAR2,AMAR2,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Menard_p_2e,-30.15,5,c3,Solanum elaeagnifolium,SOEL,SOEL,Solanaceae,forb,perennial,dicot,no,c3_forb
2020eco_Menard_p_2f,-27.19,1.46,c3,,,,,graminoid,,monocot,no,c3_graminoid
2020eco_Menard_p_3a,-28.36,1.4,c3,Ratibida peduncularis,RAPE3,RAPE3,Asteraceae,forb,perennial,dicot,no,c3_forb
2020eco_Menard_p_3b,-26.72,1.78,c3,,,,,graminoid,,monocot,no,c3_graminoid
2020eco_Menard_p_3c,-27.51,1.65,c3,Prosopis glandulosa,PRGL2,PRGL2,Fabaceae,shrub,perennial,dicot,yes,legume
2020eco_Menard_p_3d,-28.12,2.54,c3,,,,,forb,,dicot,,c3_forb
2020eco_Menard_p_4a,-27.87,3.17,c3,Ambrosia artemisiifolia L.,AMAR2,AMAR2,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Menard_p_4b,-27.83,1.87,c3,,,,,forb,,dicot,,c3_forb
2020eco_Menard_p_4c,-27.13,1.46,c3,,,,,graminoid,,monocot,no,c3_graminoid
2020eco_Menard_p_5a,-14.82,0.44,c4,,,,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Menard_p_5b,-28.92,1.42,c3,,,,,forb,,dicot,,c3_forb
2020eco_Russel_i_01,-31.23,-1.02,c3,,13,,,forb,,dicot,no,c3_forb
2020eco_Russel_i_02,-31.47,0.48,c3,,13,,,forb,,dicot,no,c3_forb
2020eco_Russel_i_03,-31.9,-0.39,c3,,13,,,forb,,dicot,no,c3_forb
2020eco_Russel_i_04,-30.86,-1.85,c3,,14,,,forb,,dicot,no,c3_forb
2020eco_Russel_i_05,-31.44,-1.5,c3,,14,,,forb,,dicot,no,c3_forb
2020eco_Russel_i_06,-30.51,-2.33,c3,,14,,,forb,,dicot,no,c3_forb
2020eco_Russel_i_07,-28,0.43,c3,,15,,,forb,,dicot,no,c3_forb
2020eco_Russel_i_08,-29.34,-0.61,c3,,15,,,forb,,dicot,no,c3_forb
2020eco_Russel_i_09,-28.99,0.09,c3,,15,,,forb,,dicot,no,c3_forb
2020eco_Russel_i_10,-12.18,-1.1,c4,,16,,Poaceae,graminoid,,monocot,no,c4_graminoid
2020eco_Russel_i_11,-12.96,0.11,c4,,16,,Poaceae,graminoid,,monocot,no,c4_graminoid
2020eco_Russel_i_12,-14.35,-0.92,c4,,16,,Poaceae,graminoid,,monocot,no,c4_graminoid
2020eco_Russel_i_13,,,c3,,,,,shrub,perennial,monocot,no,c3_shrub
2020eco_Russel_i_14,-31.02,-4.34,c3,,,,,shrub,perennial,monocot,no,c3_shrub
2020eco_Russel_i_15,-30.83,-3.29,c3,,,,,shrub,perennial,monocot,no,c3_shrub
2020eco_Sansaba_i_01,-27.07,-1.21,c3,Prosopis glandulosa,PRGL2,PRGL2,Fabaceae,shrub,perennial,dicot,yes,legume
2020eco_Sansaba_i_02,-25.52,-0.43,c3,Prosopis glandulosa,PRGL2,PRGL2,Fabaceae,shrub,perennial,dicot,yes,legume
2020eco_Sansaba_i_03,-30.63,-0.91,c3,Heterotheca canescens,HECA8,HECA8,Asteraceae,forb,perennial,dicot,no,c3_forb
2020eco_Sansaba_i_04,-30.77,-0.7,c3,Heterotheca canescens,HECA8,HECA8,Asteraceae,forb,perennial,dicot,no,c3_forb
2020eco_Sansaba_i_05,-13.89,3.31,c4,,,,,grass,,monocot,no,c4_graminoid
2020eco_Sansaba_i_06,-29.52,-2.44,c3,Asclepias asperula,ASAS,ASAS,Asclepiadaceae,forb,perennial,dicot,no,c3_forb
2020eco_Sansaba_i_07,-30.35,-2.78,c3,Asclepias asperula,ASAS,ASAS,Asclepiadaceae,forb,perennial,dicot,no,c3_forb
2020eco_Sansaba_i_08,-29.74,-2.74,c3,Asclepias asperula,ASAS,ASAS,Asclepiadaceae,forb,perennial,dicot,no,c3_forb
2020eco_Sansaba_i_09,-28.91,-1.67,c3,Nassella leucotricha,NALE3,NALE3,Poaceae,graminoid,perennial,monocot,no,c3_graminoid
