id,dry.wgt
2021eco_Bell_p_3a,0.1532
2021eco_Bell_p_3b,0.0773
2021eco_Bell_p_3c,0.1718
2021eco_Bell_p_3d,0.1365
2021eco_Bell_p_4a,0.1455
2021eco_Bell_p_4b,0.3183
2021eco_Bell_p_4c,0.0889
2021eco_Bell_p_4d,0.095
2021eco_Bell_p_5a,0.3747
2021eco_Bell_p_5b,0.2103
2021eco_Bell_p_5c,0.4169
2021eco_Bell_p_snight1,0.2275
2021eco_Bell_p_snight2,0.4599
2021eco_Bell_p_snight3,0.2987
2021eco_Burnet12_p_1a,0.253
2021eco_Burnet12_p_2a,0.2784
2021eco_Burnet12_p_2b,0.0861
2021eco_Burnet12_p_3a,0.2974
2021eco_Burnet12_p_4a,0.2958
2021eco_Burnet12_p_4b,0.1562
2021eco_Burnet12_p_5a,0.3235
2021eco_Burnet12_p_5b,0.3884
2021eco_Burnet12_p_5c,0.0864
2021eco_Burnet12_p_john1,0.1771
2021eco_Burnet12_p_john2,0.2558
2021eco_Burnet12_p_john3,0.2936
2021eco_Burnet12_p_snight1,0.1798
2021eco_Burnet12_p_snight2,0.1583
2021eco_Harris_p_1a,0.123
2021eco_Harris_p_2a,0.1291
2021eco_Harris_p_2b,0.0601
2021eco_Harris_p_2c,0.1499
2021eco_Harris_p_3a,0.1778
2021eco_Harris_p_3b,0.0689
2021eco_Harris_p_3c,0.1872
2021eco_Harris_p_4a,0.1833
2021eco_Harris_p_4b,0.1474
2021eco_Harris_p_5a,0.1547
2021eco_Harri_p_5b,0.0499
2021eco_Harris_p_5c,0.08
2021eco_Harris_p_5d,0.1365
2021eco_Uvalde_p_1a,0.0896
2021eco_Uvalde_p_1b,0.255
2021eco_Uvalde_p_1c,0.083
2021eco_Uvalde_p_2a,0.1043
2021eco_Uvalde_p_2b,0.0904
2021eco_Uvalde_p_2c,0.312
2021eco_Uvalde_p_3a,0.1169
2021eco_Uvalde_p_3b,0.1668
2021eco_Uvalde_p_3c,0.3873
2021eco_Uvalde_p_4a,0.1437
2021eco_Uvalde_p_4b,0.1179
2021eco_Uvalde_p_4c,0.1277
2021eco_Uvalde_p_5a,0.1085
2021eco_Uvalde_p_5b,0.0658
2021eco_Uvalde_p_5c,0.2606
